자치구,CCTV 소계,CCTV 증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV 비율,오차
강남구,6502.0,36.906030257830814,549898.0,544804.0,5094.0,72602.0,0.926353614670357,13.2028121578911,1.182401099840334,2827.402500614432
관악구,4942.0,26.92926045016077,516662.0,499374.0,17288.0,76664.0,3.3460947389202222,14.838327571990973,0.9565247686108133,1402.4524294599041
송파구,2854.0,101.07991360691145,680883.0,674095.0,6788.0,89539.0,0.9969407372485435,13.150423787934198,0.41916158870173,1352.8370868757638
강서구,2560.0,62.60869565217392,595703.0,589302.0,6401.0,85992.0,1.0745287500650493,14.435381389719373,0.42974435247094606,1300.7198363324578
노원구,2415.0,53.713527851458885,535495.0,531037.0,4458.0,82682.0,0.8325007703153158,15.440293560163962,0.45098460303084065,1201.0728837530814
도봉구,1629.0,76.5934065934066,333495.0,331238.0,2257.0,60023.0,0.6767717656936386,17.99817088711975,0.4884630953987316,1166.2735809854403
성동구,3602.0,29.83569828230022,307193.0,299042.0,8151.0,44728.0,2.6533807736504413,14.560227609353078,1.1725527599912757,913.6009896155228
구로구,4075.0,28.205980066445186,438308.0,405837.0,32471.0,67432.0,7.408260857661736,15.384615384615385,0.929711527054035,853.8331649502788
동작구,2297.0,49.44115713346483,407802.0,395014.0,12788.0,63378.0,3.1358355280258556,15.541365662748099,0.563263544563293,800.2098868802673
강동구,2547.0,62.58064516129033,457042.0,452646.0,4396.0,66401.0,0.9618372053334268,14.528424083563435,0.557279199723439,750.2898753370923
영등포구,3778.0,54.38745231030098,404766.0,371903.0,32863.0,59373.0,8.119011972349456,14.66847511895762,0.933378791696931,693.1264828385574
성북구,3958.0,42.28089475614228,454532.0,442494.0,12038.0,72172.0,2.6484383937764555,15.87830999797594,0.8707857752589476,670.9091655042284
마포구,2421.0,53.76486129458389,386086.0,374570.0,11516.0,53283.0,2.982755137456422,13.800811218225991,0.6270623643436954,587.9698984698607
서초구,3704.0,27.422752808988765,434801.0,430568.0,4233.0,58332.0,0.9735488188849611,13.415792511976743,0.8518839653082675,497.0833785879331
동대문구,2497.0,26.67025862068966,362793.0,346156.0,16637.0,60367.0,4.585810641329904,16.63951619794208,0.6882712731502537,417.32198678982786
은평구,3791.0,63.84083044982699,482509.0,478019.0,4490.0,82245.0,0.9305525907288775,17.045277911914596,0.7856848266042706,390.2284620709097
광진구,2588.0,57.00992555831266,365990.0,350417.0,15573.0,48989.0,4.255034290554387,13.385338397223967,0.7071231454411323,339.3125579331354
종로구,1772.0,16.57894736842105,161984.0,151217.0,10767.0,28073.0,6.646952785460293,17.330724022125644,1.0939352034768866,326.36214921820783
강북구,2462.0,194.8502994011976,316750.0,312985.0,3765.0,61660.0,1.1886345698500393,19.466456195737962,0.7772691397000789,265.23256947631035
중랑구,3296.0,155.625,400678.0,395619.0,5059.0,66764.0,1.2626098762597397,16.66275662751636,0.8226056833666935,227.73751031238953
서대문구,2940.0,38.07810894141829,325875.0,312642.0,13233.0,53038.0,4.060759493670886,16.275565784426544,0.902186421173763,175.68924419817085
금천구,2374.0,59.543010752688176,251370.0,232583.0,18787.0,38508.0,7.473843338504993,15.319250507220433,0.9444245534471098,87.5699040557738
용산구,2383.0,66.57060518731988,246165.0,229579.0,16586.0,39439.0,6.737757195377085,16.02136778177239,0.968049885239575,57.42010023940975
양천구,3312.0,23.52710133542812,460532.0,456339.0,4193.0,62761.0,0.9104687622141349,13.627934649492326,0.7191682662659706,0.5289881942981083
